Tijd (sec)	Afstand (m)	Gewicht (kg)	Bonus (euro)	Maandloon (euro)
787	911,5	30,19105828	2133	5328,5
669	921,5	30,35621847	2058	5234
782	882	29,69848481	2446	6127
705	868,5	29,47032406	2030	4890
638	954	30,88689042	2415	6061,5
631	1063,5	32,61134772	1957	4877,5
713	1012,5	31,81980515	2149	5471,5
641	1022,5	31,97655391	2059	5340,5
719	849,5	29,14618328	2454	6263
717	860,5	29,33428029	2452	5976
617	898,5	29,97498957	2081	5142,5
698	885	29,74894956	1989	4931,5
664	1012	31,81194744	2153	5444,5
727	903,5	30,05827673	2294	5755
782	985	31,38470965	2356	5881
717	876,5	29,60574269	2328	5705
608	931	30,5122926	2397	6085,5
724	906	30,09983389	2153	5271,5
734	994	31,52776554	2498	6265
651	1074,5	32,77956681	2270	5540
629	963,5	31,04029639	2111	5217,5
686	962	31,01612484	1997	5189,5
611	962,5	31,02418411	1969	4851,5
779	894,5	29,90819286	2029	4888,5
718	869	29,47880595	2388	5880
639	1038,5	32,22576609	2088	5221
770	903	30,0499584	2039	5273,5
701	889,5	29,82448658	1935	4775,5
633	919,5	30,3232584	2028	5032
741	939,5	30,65126425	2355	5918,5
686	976	31,2409987	2086	5386
641	1029,5	32,08582241	1992	5090
618	938	30,62678566	2410	6176
709	855,5	29,2489316	2489	6108,5
784	973	31,19294792	2326	5899
709	983,5	31,36080356	2437	6032,5
708	853	29,20616373	2322	5762
703	908,5	30,14133375	1979	4905,5
757	914,5	30,24070105	2162	5399
799	826,5	28,74891302	2287	5859,5
759	866,5	29,43637206	2366	5876
660	1064	32,61901286	2433	6246,5
685	1006,5	31,72538416	2452	6310
782	839	28,96549672	2044	5204
723	849,5	29,14618328	2280	5742
663	937,5	30,61862178	2354	5764
715	1004,5	31,69384798	2496	6372
694	1010	31,78049716	2197	5689,5
787	958,5	30,95965116	2276	5876
724	945	30,7408523	2005	4872,5
661	991,5	31,48809299	2351	5922,5
666	953	30,87069808	2236	5766
666	869	29,47880595	2369	5741,5
647	1048,5	32,38054972	2313	5881,5
720	929	30,47950131	1993	5122,5
693	933,5	30,55323223	2106	5254
680	917	30,28200786	2188	5462
774	862	29,35983651	1926	4831
643	1040,5	32,25678223	1991	5137,5
706	982	31,33687923	2415	6187,5
742	887	29,78254522	2208	5452
623	982,5	31,34485604	2439	6043,5
668	967	31,09662361	2095	5341,5
616	970	31,144823	2443	6017,5
667	996,5	31,56738824	2178	5572
790	914	30,23243292	1975	4776,5
614	1004	31,68595904	2011	4841,5
613	1038,5	32,22576609	2345	5674,5
628	912	30,19933774	2360	5756
703	976,5	31,24899998	2376	5918
781	900,5	30,00833218	1991	4944,5
702	1048	32,37282811	2134	5331
702	1026	32,03123476	1943	4920,5
637	1019,5	31,92961008	2358	5744
624	1035	32,17141588	2434	6095
618	1067	32,66496594	2029	5003,5
743	988,5	31,44041984	2402	5973
676	1010	31,78049716	2149	5242,5
703	948,5	30,79772719	1965	5101,5
795	851,5	29,18047292	1991	4930,5
785	880,5	29,67322025	2192	5515
742	935	30,5777697	2221	5419,5
776	910	30,16620626	2282	5780
707	992,5	31,503968	2095	5060,5
695	978,5	31,28098464	2089	5342,5
627	965,5	31,07249588	2340	5991
616	1018	31,90611227	2161	5301,5
652	995	31,54362059	2006	4984
636	1000	31,6227766	2252	5727
613	947,5	30,78148794	2108	5296
645	1025,5	32,02342892	2497	6180,5
612	969	31,12876483	2473	6321,5
640	1012	31,81194744	2184	5604
640	889	29,81610303	2240	5691
661	961,5	31,00806347	2497	6179,5
723	1010,5	31,78836265	2466	6139
776	979	31,28897569	2328	5663
617	1058,5	32,53459697	2458	6100
613	1017,5	31,89827582	2193	5501,5
619	917,5	30,29026246	2356	5762
611	1077,5	32,82529512	2240	5502
637	949,5	30,81395788	2096	5425
613	929,5	30,48770244	2371	6084,5
616	1090	33,01514804	2248	5644
682	895	29,9165506	1958	4890
734	928	30,46309242	2119	5119,5
732	1008	31,74901573	2138	5241
776	937	30,61045573	2308	5593
730	872	29,52964612	2021	5005,5
654	941	30,6757233	1932	5014
771	957,5	30,94349689	2186	5401
748	901	30,01666204	2416	6221
786	835	28,89636655	1929	4726,5
711	1039,5	32,24127789	2147	5490,5
685	880,5	29,67322025	2481	6106,5
666	903	30,0499584	2487	6032,5
795	982,5	31,34485604	2458	6068
683	905,5	30,09152705	2413	6172,5
702	932	30,52867504	1912	4812
670	900	30	2131	5199,5
636	952	30,85449724	2404	5934
711	980,5	31,31293662	2345	6059,5
789	938,5	30,63494736	2166	5505
642	968	31,11269837	2413	5970,5
641	1010,5	31,78836265	1968	5058
790	940	30,65941943	1901	4922,5
606	1079	32,84813541	2432	6237
694	1024	32	2168	5306
